2.259999999999999787e+00,4.824726879596710205e-01,2.737484574317932129e-01,3.881518542766571045e-02,1.073726788163185120e-01,1.339608896523714066e-02,6.406305730342864990e-02,2.013179846107959747e-02
2.459999999999999964e+00,1.939198076725006104e-01,4.980444908142089844e-01,4.940310493111610413e-02,1.640475094318389893e-01,1.879007369279861450e-02,4.947059974074363708e-02,2.632437273859977722e-02
2.660000000000000142e+00,1.353791505098342896e-01,6.019879579544067383e-01,3.130663558840751648e-02,1.755625307559967041e-01,1.767494156956672668e-02,2.678824774920940399e-02,1.130053121596574783e-02
2.859999999999999876e+00,6.390023976564407349e-02,8.237171173095703125e-01,1.187019329518079758e-02,8.449503034353256226e-02,8.441914804279804230e-03,4.711315967142581940e-03,2.864261390641331673e-03
3.060000000000000053e+00,6.095662713050842285e-02,7.522047162055969238e-01,2.347258105874061584e-02,1.390243321657180786e-01,9.160534478724002838e-03,8.808848448097705841e-03,6.372353993356227875e-03
3.259999999999999787e+00,2.871513366699218750e-02,9.338387250900268555e-01,5.111979786306619644e-03,2.531661279499530792e-02,2.962590893730521202e-03,2.053235657513141632e-03,2.001712098717689514e-03
3.459999999999999964e+00,2.968058921396732330e-02,9.496262669563293457e-01,3.612507833167910576e-03,1.253342721611261368e-02,2.514957217499613762e-03,7.967411656863987446e-04,1.235543983057141304e-03
3.660000000000000142e+00,3.550052046775817871e-01,5.262609124183654785e-01,6.506859790533781052e-03,9.718600660562515259e-02,7.779559586197137833e-03,2.695172326639294624e-03,4.566288087517023087e-03
3.859999999999999876e+00,6.254839897155761719e-01,2.846301198005676270e-01,4.798743873834609985e-03,6.681529432535171509e-02,8.711560629308223724e-03,3.976881504058837891e-03,5.583398975431919098e-03
4.059999999999999609e+00,7.555808424949645996e-01,2.062309682369232178e-01,3.417765023186802864e-03,2.738743647933006287e-02,1.848939340561628342e-03,3.297947347164154053e-03,2.236205618828535080e-03
4.259999999999999787e+00,7.040325403213500977e-01,2.434882372617721558e-01,4.240992479026317596e-03,3.828537091612815857e-02,3.293637651950120926e-03,3.828440560027956963e-03,2.830835757777094841e-03
4.459999999999999964e+00,6.788516044616699219e-01,2.823868095874786377e-01,4.461818374693393707e-03,2.535784617066383362e-02,2.319103106856346130e-03,3.932257648557424545e-03,2.690650289878249168e-03
4.660000000000000142e+00,5.487756729125976562e-01,4.210451841354370117e-01,4.513593390583992004e-03,1.950526051223278046e-02,1.095955609343945980e-03,3.579202108085155487e-03,1.485173706896603107e-03
4.860000000000000320e+00,4.115757346153259277e-01,5.698615312576293945e-01,2.474019071087241173e-03,1.130458433181047440e-02,5.634746048599481583e-04,3.168694209307432175e-03,1.051971572451293468e-03
5.059999999999999609e+00,6.982271373271942139e-02,9.123008251190185547e-01,5.924497731029987335e-03,6.743346340954303741e-03,5.176312406547367573e-04,3.687332617118954659e-03,1.003686455078423023e-03
